text,target
At the diner ,1
"I miss my friends, I miss my family, I miss my old town! i wanna back home  i dont wanna be here",0
@wiseleo WOW that's more than a little color! ,1
3 words = Weather - Shite - Arrgh!! ,0
Also doesn't help that it is an absolutely gorgeous Boston day (mid 70s) AND @stacey_a_allen invited me to her sister's grad party. ,0
OHHH I hear Across the Universe playing in the other room.... NIGHTERS!!!!! ,1
Very fun weekend and today was beautiful at the game with fam  can't believe the weekend is over already,1
watching celebrity appentice and hoping for annie too win ,1
Only 1 hour 50 minutes left of work  Better get back to it then ,0
so so burnt ,0
@tromboneforhire nooope  its long gone. getting an iphone soon,0
*bursts through the Twitter doors* Hellooooooooo!  ,1
@victoria_tweed opted for a corona - it was a mistake. my headache just got a million times worse ,0
Watch &quot;UP&quot;! You'll love it!!!! ,1
redoing work is THE most depressing thing iv done all year   swainnyyy needs a hug,0
@asamidori i guess it's painful grinding for me then ,0
@dietzel Glad you enjoyed it! Thanks for joining us! ,1
Work is lame got my computer back but still no internet.  Come on ppls work with me here. ,0
BEER!!! It's whats for dinner!! I wish you could watch people workout and get the same results? Oh well! ,1
@tiddles_thecat Haha I kinda gave up too  Could you tell haha Lol,1
French Toast w/ bacon and strawberries for breakfast yum ,1
@gypsydancer13 wow girl look at that old phone in the pic! you look cute with bangs! HOW do you get the ringlets? not like I can do it  ha,0
"@gfalcone601 aww gio, you are such a cutie  i enjoyed the party lots last night sorry about the mess  xxx",1
@Domien I know the feeling. Hij stond je vet ,1
Dad having fever again.. Not looking too good ,0
@cathicks I don't get it. ,0
i Just Watched BGT! :o i Saw the Litte Girl Cry! :O omg.omg.omg! i Really Cant Belive it! im Sorry it Was So Fuuny Lol  x,1
Im mad im sittin here &amp; i wanna go to sleep but cant! uuuuhhh ,0
@iCrunchy I WISH I could do ap hwk ,0
@OliviaVZ YAY!! You got a job! Congratulations! So happy for you ,1
Not feeling well today...I've been having stomach pains a lot lately...might have to swallow the pill and actually go see a doctor. ,0
won tickets to see the jonas brothers (: ...but of course I can't go ,0
@munkimatt yes but I can play while I work with this iPhone!! I smashed my screen on sat  ok add me in facebook!! Lady Vivienne McCourt!,0
Taking my sister to the airport ,0
@wimjimjam yes yes yes... stupid people  UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,0
Too much taste for Whores. lol ok i cant make it i need sleep .. hope i wake for work ,0
@gaudet2 I could tell the shading  - I didn't get any color  m/b the dolphin one I want to get - like that pic in the vid of my son?,0
Reading tweets 'till I fall asleep... have a toothache ,0
@BrittD20 mm...and the money is good ,1
"Sunday night, getting ready for bed and a full week at work ",0
@Alegna75 Morning Nookie AND Swiss cake rolls? Can we switch places for a day?? ,1
Rahman's performing 2row in Pune. But I will not be able to make it ,0
@barski I keep hearing about this cupcake update. I'm not sure what it means but I would like mine with chocolate frosting. ,1
Finally home. Great times wit my cousin and Shireen  hope no wakes me up early.. . . .  night/morning ya'll,1
grounded ,0
@isacullen Well shoot :/ I missed you too. I was craving my compy  So should've stayed home.,0
Just got on to do college work thinking bout my baby darnell. ,0
omfg why am I working right now? ,0
"@Hoops_angel Yup, sold out...I tried to get another one last week and all gone  Still looking round but nothing yet.",0
after lunch dip!!! Had STEAK again! On a sandwich this time ,1
How did Craig Miller find me on Twitter???  ,1
I need dinner but I'm still waiting for a fax from work.  Also I have no food. Attn! Need partner who cooks. I am inept. lol,0
-such a Beautiful Day already..!! Tgif ,1
Why isnt anyone tweeting ,0
i wish we had more home movies... everyone kind of gave up on them when i was like three ,0
"im soooo bored right now.,.,.,!! ",0
admirin da French pedi I gave myself 2nite ,1
I.....want to.......go........home........ ,0
Chilling at home ,1
@EBBSBABY lmao ha windows in the back &amp; the bitch dnt have steps ,0
@suppmindy hey ,1
once the concert stories start rollin in I might have to go into hibernation ,0
is done with the grad party..now after partyyyy owwwww  smh we still got to clean.smhhhhlol,1
workin the graveyard shift ,0
need to lose weight ,0
@gheelovesyou ...but his booty still looks great ,1
there was moonshine involved in that last tweet  happy 2 be with @moonspi @rosenzweig,1
@jeffcrabtree follow me follow me  kavita,1
@goodlemax hee yepp i have to go to cottage soon  grr.,0
"Off to Sardinia, looking forward to one week of holiday  #sardinia",1
my nose has slowly gotten more runny throughout the day... am I getting sick? ,0
@Doctor_Death Well I'm impressed with your technical skillz ,1
"is goin to bed, nite all  2mrra's a new day...thank god!",1
@chrxs ive looked for days  this is worse then the porn they made for senior citizens..are those new slacks?,0
Watching becoming jane with kimmy ,1
@mitchelmusso I can't buy the album. I'm sad.  Reason: Australia. Need I say more? Congrats tho and all the best of luck!! &lt;3,0
i hate mornings. Even friday mornings. Wish i wasn't so tired.... ,0
my mom was just asking if i could work w/her on fri....so now i'm not sure....... ,0
"@Betmenko Thanks for following, followed you back.  Great to have people follow you on Twitter. Makes me less dull, LOL! Haha!",1
"@teufl0302 @SteveBrunton Sweeties, i gotta go... Having dinner and eating lots of cake with my mom ",1
@xjaelee19x oh bestie..i admired your attention .but it's really hard..i'm so busy..hope you understand..  ,0
@eedawson It's not gonna storm!  because I said so! ,0
"@Brendacopeland Love it. Twilight Zone, episode &quot;How To Serve Man.&quot; One of my favs. Even The Simpsons did it.  ",1
"My dad wiped our comp hard drive cuz hes weird, so i cant watch buckley on blogtv  34 more minutes  &lt;!itsabby!&gt;",0
@torr13 thanks so much!  how are you feeling btw?,1
"@tommcfly hey Tom, I'm waiting for you back to Brazil cuz I didn't go to your last concert here  are you coming in October?",0
@WIGGINSCC  time can stop or slow wayyy down ,1
@shadowfaerie ahhh i'll be driving to pick up hannah wed.  ,0
off to school. Tech. And geom exams today. :/  Wooo early release ,1
murdered Margaret Paige Turner...@ Whodunnit Murder Mystery Dinner!  too much fun. &amp; can't wait for 180 mission events! woohoo ,1
@Emskydoodle http://twitpic.com/6qg2w - so cute ,1
@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,0
is sooooooooo sore...like everywhere hurts ,0
@calvinharris  catch you in B/mouth in October !   Southampton's better tho' ;)!,1
Going over to my sisters tonight. ,1
@turpentine2009 Oh gosh... &quot;Back Here&quot; another all time fave of mine! U are amazing... just sayin... ,1
What a beautiful day. Hope its like this the WHOLE day ,1
3 short ,0
Just finished the first day of training with Sir Manci. Learned a lot today and the training was great. Back to work tomorrow ,0
@DanaeNicoleRudd no of course not u want to make it on your own so it feels even better when you do ,1
17h45 - @GoodKarmaBlog courage !  about 1 hour ago from web in reply to GoodKarmaBlog,1
I'm helping my daughter with her project about JK Rowling.   Hope we get a good grade!  ,1
@youcollme  I  was going to mention that you probably forgot  but the msg was just too long. I'm jealous you dreamt something wonderful ,0
Goodmorning ,1
this flat hunting malarky is rubbish ,0
I didn't get my free coke glass ,0
@richdirtygirl  slides show with voice I hope ,1
@emmmaj good song ,1
@just_J_ i love bobby longs music ! Although i can't find it anywhere to download it ,0
WTF is going on with the Chiefs? Getting smashed at the 1/2 way point of the S14 final ,0
June is now looknig like its gonna be a perfect month for gigs ,1
"Thanks to all my fans, however few, my work wouldn't be possible without your amazing support  xx",1
Everyone get excited...it's free donut day!!!!! ,1
@aspo1 good morning ,1
Giving out free food! Yum. ,1
"Just had a nice lunch with Lisa. So many folk sitting by the river today, it's lovely ",1
@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,0
About 80 degrees and sunny here today... about as nice as anywhere in the world. No hot horseys here hahaha ,1
"GD afteroon my fellow twitters tis a beautiful day n i hope we all gt are summer swagger on, lol ",1
Ugh my mom took away half the cable ,0
@jraimond  That sucks ,0
not feeling so good anymore after that ride ,0
"just got back from off roading with the fam. completely exhausted, but happy ",1
@andyclemmensen heyyyy  you are radical xD,1
Question: should I stay with red hair or get rid of it completely and go blonde again?!  please @ reply!!,1
Shit! I lost my HK debit card ,0
@alyssalovesm ... Am all good ,1
who's Andrew marr? he's on the top trending topic at this time. ,1
@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?,0
@brianwelburn: Michael Foot ( &amp; mouth ) !!  hhaha yes very in at the mo,1
Heading to AIM to get my test done and then driving back to SD. I don't wanna leave  But I'll be back up tomorrow night!! Love. xx,0
@beezan I've to admit..... I did a tiny bit of shopping. Whilst of course spending most of my time doing cultural things ,1
@stephcotton you're gay.. ,1
Chicken fried steak and a beer on sunday morning with extended family on a beautiful day  gotta love it,1
I am helping a good friend get setup on Linkedin  His company is in the process of layingoff. ,0
http://twitpic.com/6vvk2 - My new snowboard! Oh it's so pretty... ,1
Need To Start Revising Physics ,0
"@rustyrockets i think, mr brand, that u at least owe us a few tweets after abandoning us uk girlies for LA  xx",0
finshed exams  and off to oxford to celebrate!!,1
No internet at work  I can't fix my resume and email it to the new spot,0
Only problem is that TIFF files can't be larger than 4GB ,0
@hardik that's one of the downsides of my job. no stock dealing shealing allowed!!! ,0
@TaviGreiner ugh what a pain. It has happened to me many times. ,0
"Yes, I am ",1
I'm extrememly lonely right now! Everyone is out and I'm stuck here doing Maths revision...against my will! Boo! ,0
Haha I growled at my dog and she tilted her head and gave me the 'wtf is wrong with you' look then walked away ,0
Still not feelin' this Tweeting thing ,0
Im up. Im throwed. Im lovinn my new followers ,1
"@torilovesbradie definitely, or even just &quot;i'll call you&quot;, they never do  how was ur day? xx",0
"@Trevorjpearson Wow, I guess you are cool afterall ",1
Shopping with sis and Alex... I don't feel like shopping when on vacation ,0
Im having weight issues  im upset and scared. [AyshiakiAyana],0
"@Mr_SOS thanks, always nice to start my morning with my husband putting me down   ...... j/k....... sort of ;)",0
"@Hybrid911 ouchies! i never liked suncream...i gave up using it a while ago, haha  hope ur sunburn gets better soon.",1
@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,0
I have no idea who those blokes are  @DCbigpappa @dandyscopic  @wrhunt @downtheticket @DCBadger @jwtrautman  http://pikchur.com/aD9,0
@ashleytisdale so excited about your album coming out soon! ,1
@tommcfly Take a photo of Danny pls ,1
leavin the r-side soon... i'm actually gunna miss it ,0
Out at dinner with the family ,1
"@crazydiamondsi Eh up you  We are talking SAAB 9-5 se, estate too. Had to get a 2.0t as insurance wouldn't touch Poppet on a 2.3t ",0
bored yesterday....bored today....bored tomorrow....... summer :/...... where are my friends!!!!! ,0
Just attempting to watch Quantum of Solace again after leaving it disappointed sometime ago... Yes it is as crap as I remembered ,0
I want to go back to sleep. It would be nice to have someone to bury myself into.  I hope I will have that again soon...,0
Omg my bff just said he wouldn't kiss me @NasVegas ,0
Thinking about a name for my Etsy shop    Any thoughts??,1
@JudahGabriel i wish i had that much to say ,0
"drinking wine from the bottle after playing some DDR, chilling with my broseph and listening to music ",1
"Sitting at work, waiting for the Receptionist to get off lunch so I can go to my dental    I hate it!",0
Chillin ,1
Morning twitfam! On the way to LGA airport for my flight home. NYC was fun!  but I'm sleepy!!,1
@itszikki yooo.. im goin to sleep.. call my cell real quick if you wanna  i love you and miss you. goodnight.,1
@FaketragedyCom i know ,0
"just woke up, ive been asleep sine 4 hah. i dont feel good  &amp; the people i used to steal internet from, moved. so text (: instead of m ...",0
@surfygurlx cheer up ,0
"@f_nadzirah cant sleep,go online! hahaha @bobbyden and @faidchong misses you too ",0
@SteveStucker I am lost. Please help me find a good home. ,0
Boo!! Just got to school n my phone only has one bar left ,0
@doshdosh sadly nothing is safe from spammers and/or marketers ,0
"heard an amazing band tonight at open mic night! Waldon Lane! They will be back next week, ya'll should come out and take a listen. ",1
@CatBickmore Unfortunately Miss Bickmore - me doesnt have iPhone  So couldn't tell thee.. Isn't settings at the tim next to FIND PEOPLE?,0
@YoungQ Hey! That's craziness! Always something going on when you're on tour! ,1
@hugith I was encouraged by an old EOFer (whom I respect greatly) that I should dump EOF and go with Hibernate...I just couldn't do it. ,1
@bboop22 yeah i thought he'd really be a problem but he ended up helping us out in the end  big j did with some dumb b*tch who,1
"BURGER KING = LOVE  am i the only one that puts fries in my burger and it the crust around it first? People, are looking at me weird :|",1
"No hangover tday, after a 12hr session, yay! Lol... I wana do it all again ",1
My throat kinda hurts ,0
working on arts ,1
@jackandrai Please tell me you got a BlackBerry. ,1
owwwwwww damn my brother smacked my back and i have a slight sun burn on my back lets jsut say i got even i smacked him in the face ,1
@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... ,0
@Mnemosime no not at all lol. I don't really mind either way. Misha can deal with slashers soooo it's okay I guess ,1
Riding train to work on a dreary Monday morning ,0
"@geekrebel http://twitpic.com/7j5mc - He looks different from yesterday, sure you got the right baby  love the name!",1
"@darlingnikki08 I'm fine thankyou, apart from a bit of hayfever   How are you doing?",0
"@timTech You mean besides JMay (x5)?  Paul McCartney, James Taylor, Jason Mraz, Amos Lee, Mason Jennings, etc. and Death Cab in 19 hours!!",1
@pcfhjeff I just downloaded your EP and I really like it ,1
@xPowxBangxBoomx dammiitt!! i wish i had MTV ,0
"@eleanor_pugh You're welcome, I'm glad you liked PULVERHUND  The Broken Family Band are duly noted, thank you. Good luck on your exam!!",1
gonna knit a felted heart toy for mum for Mothers Day. she's so great (not really) she loves anything i give her  luv ya mummy,1
@metawops It depends on how much followers you have... ,0
Them` long` nuong ,0
Yeah. It's sad. ,0
@zerbetron thanks for my first true LOL moment of the morning &quot;refried ass&quot;--can you still get that as a side dish at Taco Smell? ,1
doing disk cleanup so that i can save a measly blog header ,1
"@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too ",0
"@lorraine_p oh, maybe...? Good excuse ",1
@erockett89 i wish i was home in bed naked ,0
@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,0
http://tr.im/ly6O who didnt hear yet the song that wins last night the grand prix eurovision song contest 2009? here you go ,1
@johncmayer NYC misses you too! we will be waiting ,1
@beyoncatweets How awesome? Lol... I guess they were good but it could still be better ,0
@BabiiBecca yeah idk im supposed to go back to escuela and do something but idk how long itl take. ill let chu know tho ,1
"@duanehoward Hehe I have original Win 3.1.1 floppies, and original Win 95 media too, if you ever need them for something ",1
"I'm up early, I wish I was going to bamboozle! ",0
http://twitpic.com/6vt0m go Cubs go!  he needs a name...,1
wishing i had marvelous misadventures of flap jack on DVD ,0
Super annoyed. I wrote a blog that took me 2 hours to write. And its gone now and i didn't get to save it. ,0
is LEGALLY BLONDE ,1
"@peterfacinelli I just got a screencap of your followers at 496,000 or so... OMG you're either so close or Twitter is messed up again ",0
@TferThomas  We are both following and I don't think I have seen him online lol ,1
ugh sO far day has started Off bad  hOpe it gets better,0
Hmm. Someone popped out of nowhere and asked me if I was crazy. LOL ,1
We're getting violent.  Program randomly decided to hate us when we took a break to get food ,0
@Dani82 sorry  to hear about your friend ,0
"i am on sofa with a migraine, ",0
"Homemade chicken bake, good friends, and awesome herbs  what more could I want?!?",1
@JessicaCorban thats good to hear  keep in touch babe!,1
@ivebeenabadboy lol thank you. ,1
@thomasfiss i have a snoring pug puppy in my lap ,1
Kirsten is never up in the morning. And i think she is mad at me ,0
Everyone's talking about the goodies at #BEA09.  I wanna be there.  ,0
What a wonderfull weather outside in Kristiansand today! ,1
@MomoFali that sucks ...sorry not that it helps ,0
wake up early tomorrow . ,0
escuchando the killers ,1
Nope... didn't make it ,0
everybody wish @Kate_Walsh_  good luck!  i am rooting for her for sure ,1
busted out of CSPC event #2 in 830th place! (out of 1900) this was the biggest tournament in history outside of WSOP! glad to be in it! ,1
@HelloEli exacly ,0
@riellaelise OH MY FREAKING GOD I HATE YOU ,0
@XxHayXx0 yay! isn't he though??? i want the pants. for all myself ,1
going to the mall to look for a dress. then alexis's sweet 16 party later ! no cell.  ,0
@babygirljer I know   Yoga at 4:30 pm today? I seriously miss my amazon!,0
"@MaxPower_1 Haha, I actually hate those bots, but that's pretty informative ",1
@Solerunderwood thank u!!  i was SOOO shocked tbh! awwww im sure u were good in chem ;),1
Taco mac with carls ,1
@kaylajoysmith it got moved to monday.  sighsigh.,0
http://twitpic.com/65zqp - winter formal! ah great times ,1
@Sunnywithbiss we got the the party with us-us-us-us-us-us-us-us-us-us ,1
CellBazaar plug-in for Firefox on your way soon ,1
"well i just got done getting readdyy, now i'm gonna go eat some breakfast. with bridgette tonight! &lt;3 text me pleasee ",1
"@GimmeTOKYO that... Actually looks pretty cool, I wanna play too ",0
@tomasekeli I agree...kids get so sad when they're sick. ,0
What a good night of just hanging out and not really drinking. ,1
My throat is still soreeeee  I can't wait until this is overrrrr,0
@GeezusHaberdash Awww   I told you when I would change it. I suggest you try to get in touch w/ Dre's people. LOL,0
"@johnhood Sadly, Bruce Wayne wld never rock up to where I am! Re: macbooks. Nup. I'm grunge geek. Dell XPS M1330 + Advent 4211C. Cheap! ",1
 This mood is more shittysweet then bitter. At least it's FINALLY gettin fixed. UGH.,0
@NicTomTom Towards end July? Should be out of plaster by then  Name? Hmmm...,1
@DembyMalibu *waves*  check your DMs,1
@AnaRevenant i still haven't figured it out lol ,1
@khaled74 Dude I wish I could come up. This weekend sounds like a blast but I have so much going on. ,0
"sending mails, arranging meetings - hopefully something good will come of it too ",1
@chuckoy yes. because i wake up at 10. hahahahah. ,1
@rbrtpttnsn did you like being mobbed by that group of girls  lol,1
Work sucks when your here all day ,0
Holy sack of potatoes ... lets graft mense !! for all the ladies shake and bake ur cake and for the oak's sssnake  Show Love baby !!!,1
still hav my cough! now it mite be bronchitis!  bec everytime i cough my chest hurts! so dont lik doctors...,0
wow! could this get any better ,0
I LOVE living here. Makes the depressing winters SO worth it ,1
"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. ",0
i think i have an eye infection ,0
@mully Really nice. Thank you very much! ,1
finished my timesheet for the weekend.  20 hours overtime not including what i already had or will soon have ,1
"?????????????????? I just made sushi, and it is delicious! ",1
the Tonys are tonight. I want the little boys from billy elliott to win stuff. just saying. I'm a broadway nerd ,1
"@jimmietryon My 62-yo neighbor uses Linux for simple printing, email, web. No CLI needed. I use the CLI 4 shortcuts, mostly. ",1
@yelyahwilliams relatives in NC eh? that's my home state. ,1
i really need to vomit ,0
@Mediamum Good morning! ,1
"Please don't leave, Tevez!  I rather dump Berbatov to be honest. a lazy player with 30 Mil tag. http://tinyurl.com/oddnpu (via @MUFCNews)",0
"@Dansharon - chilling here, have to get back to chores ",0
"@ruchitasaxena Hi. Arun Chitnis, CorpCom drone at Jones Lang LaSalle Meghraj. Good to connect with if real estate is your bag ",1
Now in line for the famous Leng Kee Beef Kuay Teow! 11ppl ahead of me  But fr experience it's always been worth the wait!,0
@Sam916 oh no... no class today. i just hung out with an old friend from aau and it was just a waste of time. ,0
There's a party in my Tummy ,1
work was horrible. so damn busy. why???WHY?????? sore now ,0
"@muchmusic , are you kidding hands down JOE !!   that video made me laugh all day , i love him ",1
My exams just started  Boring.,0
@Joejonaslooover yeah  both were really hard i thought..,0
@hughsbeautiful How did you ge 3.0??  I can't get it yet... This makes me upset... do I need to get iTunes 8.2?,0
@Raysa haha! you are soo right.   and... look where I am.,0
.miss the hubs love sex. ,1
@Ying_Mei I'm in my first year in the university  studying to be a lawyer. And ya?,1
so far this weekend has started off amazing! Next:  seeing Up in 3D with my Jonathan ,1
"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. ",0
I accidentally broke my vow 2 not kill any living creature the other day. I stepped on a snail  that was my 1st kill in 2 mnths.I feel bad,0
watching leah and the boys play with the trains...easy day only 2 kids ,1
"Woke up, killer soar throat  It hurts soo bad, i need some tea.",0
@kingsunshine make the most of it? Over too quickly! Spending mine mostly walking..hope it stays fine!  Enjoy....,1
packing up my room ,0
@OrganicLisa WELCOME TO THE TWITESPHERE! IÂ´m leaving the Galapagos today. Sad  That does mean one day closer to seeing you again though!!,0
Whew my body is mad about tha workout... I think ill nap when I get home. Its still raining ,0
i want someone to cuddle with right now. ,0
@shaundiviney i fucking missed my call! what happens then ,0
Home from the AWESOME Eddie Vedder show.  Wish I was going tomorrow night too ,0
out to partay with my besties  and my fav bb!,1
My head isn't healing well it feels that way ,0
Looks like I won't be getting operated b4 my album release   Gonna surprise my pops at work and have lunch with him! Happy late Dad's day!,0
Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,0
watching &quot;Marie Antoinette&quot; tonight. Glamour Galore ,1
Crap Steve Jobs had a liver transplant???? Oh man thats not good  LOL,0
"@playgroundpilot koplak, keno virus yao  mosok dibusaki tetep 0 bytes",1
"worse than i suspected, she was so disgusted in me, she wouldn't talk to me, i had to talk to the dentistry-class-taking receptionist, ",0
Sending angry vibes to the individual in a blue vehicle who hit my car in the QFC parking lot on Broad and failed to leave a note ,0
"@Timaay You're welcome....even if I sadly sing it off key, it is sincere! ",1
just  watched  the movie miss poter   its  a  nice  movie  ,1
@TheSims3 My friend and I are going to make a TS3 collage today! I picked up a whole bunch of flyers last night. ,1
At work my head hurts a little due to my neck! I hate when I sleep wrong! ,0
@mwahmwah_teh Oh that's awful  I hate when you trust someone and they hurt you so much!! Grr!,0
Am getting fungry watching Food Paradise's - Sandwiches eps! Gahhhh. Me want ,1
@alyciaolson Hi Sweetheart! Glad you found me on twitter! Whazzup!? Hope you are sleeping well and &quot;tweet&quot; me again tomorrow! Love you! ,1
Showing my mom twitter ,1
i hate sundays ,0
@tommcfly oh my.. Busted days. we miss it too. :')  I'm glad you played with JB Tom! ,1
@DonnieWahlberg Morning! Will you @jasonjmikemgmt be giving out tix to houston as well??  i want 2 make the trip &amp; there is sh*t left! ,0
@DaedalRogue that makes me sad on so many levels  but I'm glad I'm not you and going partying instead ,1
@Mollzy sorry I didn't see it  Message Jillian and Ill explain,0
"I just said goodbye to some friends  Hope I'll see them again. Tomorrow, Sweden!",0
t smells like summer outside.  i dig that.,1
http://vibejournal.com/jessica_art/ needs a new home ,0
"@sueissilly Thanks  And I did, relatively.",1
Now I'll NEVER win the Hair lottery ,0
Le sigh @ riggens that make easy shit hard ,0
@DarrenRoberts I swear you do it deliberately ,1
cooked chicken soup for the rainy weather ,1
"@riskyrevenge Wait, what? Sick? ",0
@selenagomez your song with forever the sickest kids is amazinggg its my new favorite songg!!! ,1
@wloveaffection aww thank you nice lady!  ,1
was riding...nice...maybe iï¿½ll learn it someday  i love sarah...and jason mraz ,1
#inaperfectworld I would have one last chance ,0
&quot;Binthia&quot; is serious now. She hot really quiet and looks mad tired. Kinda feel bad cuz she had to drive after only sleeping a few hours ,0
Hey Debby or any body else...can sum1 talk 2 me right now??? ,1
@DonnieWahlberg: What happened to the Asian love on the unofficial video? I guess mine didn't make the cut. ,0
@SuperKaylo where is the monkey island interview I can not find it  http://myloc.me/5zQG,0
@BlokesLib Wow... I was just thinking of the time difference between us! You've already lived my tomorrow ,1
"http://bit.ly/5PPdT  if they don't win i will ,,, CRY  lol just kidding but seriously they have too!",0
@SherriEShepherd nothing like tradition handed down ,1
I can't stand to watch this ,0
"@EsmeCullenRPG @AliceCullenRPG Off to hunt, ladies! See you later. (OOC: doc appt and work time  I'll be on around 4 my time!)",0
Ah so next weekend I get to kick it w my boys @pacha for my boys 21st fuck yeh.. Normal life ,1
"In school on my phone again, just got a top up, so warm! Too tired ",0
@khyrinthia yup!  You can try it out on the t2t discussion blog,1
does not like the heat. I think I have been bitten and I can't stop sneezing ,0
@embeep sorry about your sadness  I'll be home next weeked. we can faff about and stalk celebs on twitter,0
@Teanah So how were the booth boys?  Anywhere near as good?  Did they have an anatomically correct Sam Fisher?  ,1
twishTJ can you speak german ?? ,1
just finished watching Once! downloading the soundtrack now ,1
@TheStallion well done  n yer welcome,1
@MisterNoodle Smooches to ya Noodly!  ,1
life is too short to regret it or take it seriously so enjoy it !!  ,1
"Okay, apparently I DIDN'T miss the deadline for JB m&amp;g's, but it would be kinda lame to win, I would feel really bad about it. ",0
@ysdw Thank-You. ,1
@rubyzuby I liked your name ,1
@themaguire yuppers!!  how was ur day?,1
@Yurechko YES! Give me some domain love too! ,1
